  forking is not supported on this platform

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-21 02:38:34 /admin/rooms ....................................................................... ~ 510.51ms
  2026-05-21 02:38:35 /admin/rooms ....................................................................... ~ 510.39ms
  2026-05-21 02:38:35 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.90ms
  2026-05-21 02:38:35 /build/assets/app-CasETRYy.js ........................................................ ~ 3.08ms
  2026-05-21 02:38:35 /images/logo.svg ..................................................................... ~ 5.53ms
  2026-05-21 02:38:47 /admin/rooms ....................................................................... ~ 513.68ms
  2026-05-21 02:38:47 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.43ms
  2026-05-21 02:38:47 /build/assets/app-CasETRYy.js ........................................................ ~ 2.07ms
  2026-05-21 02:38:47 /images/logo.svg ..................................................................... ~ 3.61ms
  2026-05-21 02:49:33 / ........................................................................................ ~ 1s
  2026-05-21 02:49:34 /images/logo.svg ..................................................................... ~ 0.76ms
  2026-05-21 02:50:06 /register ................................................................................ ~ 1s
  2026-05-21 02:50:07 /dashboard ......................................................................... ~ 505.04ms
  2026-05-21 02:50:07 /admin/dashboard ......................................................................... ~ 2s
  2026-05-21 02:50:09 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.34ms
  2026-05-21 02:50:09 /build/assets/app-CasETRYy.js ........................................................ ~ 3.20ms
  2026-05-21 02:50:10 /images/logo.svg ..................................................................... ~ 5.53ms
  2026-05-21 02:50:26 /admin/dashboard ................................................................... ~ 516.53ms
  2026-05-21 02:50:26 /login ................................................................................... ~ 1s
  2026-05-21 02:50:28 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.56ms
  2026-05-21 02:50:28 /build/assets/app-CasETRYy.js ........................................................ ~ 2.58ms
  2026-05-21 02:50:28 /favicon.ico ......................................................................... ~ 0.29ms
  2026-05-21 02:50:51 / .................................................................................. ~ 512.22ms
  2026-05-21 02:50:52 /images/logo.svg ..................................................................... ~ 0.38ms
  2026-05-21 02:50:52 /favicon.ico ......................................................................... ~ 0.56ms
  2026-05-21 02:51:02 /favicon.ico ......................................................................... ~ 0.70ms
  2026-05-21 02:51:03 /favicon.ico ......................................................................... ~ 0.65ms
  2026-05-21 02:51:03 /rooms ............................................................................. ~ 512.54ms
  2026-05-21 02:51:03 /build/assets/app-DHbK4RWE.css ..................................................... ~ 516.07ms
  2026-05-21 02:51:04 /build/assets/app-CasETRYy.js ........................................................ ~ 0.37ms
  2026-05-21 02:51:04 /images/logo.svg ..................................................................... ~ 2.39ms
  2026-05-21 02:51:04 /favicon.ico ......................................................................... ~ 0.57ms
  2026-05-21 02:51:05 /rooms ............................................................................. ~ 511.10ms
  2026-05-21 02:51:05 /build/assets/app-DHbK4RWE.css ..................................................... ~ 510.89ms
  2026-05-21 02:51:05 /build/assets/app-CasETRYy.js ........................................................ ~ 0.57ms
  2026-05-21 02:51:05 /images/logo.svg ..................................................................... ~ 2.94ms
  2026-05-21 02:51:05 /favicon.ico ......................................................................... ~ 0.43ms
  2026-05-21 02:51:05 /facilities ........................................................................ ~ 516.44ms
  2026-05-21 02:51:05 /build/assets/app-DHbK4RWE.css ..................................................... ~ 519.64ms
  2026-05-21 02:51:06 /build/assets/app-CasETRYy.js ........................................................ ~ 0.37ms
  2026-05-21 02:51:06 /images/logo.svg ..................................................................... ~ 3.46ms
  2026-05-21 02:51:06 /favicon.ico ......................................................................... ~ 0.36ms
  2026-05-21 02:51:07 /about ............................................................................. ~ 503.99ms
  2026-05-21 02:51:07 /build/assets/app-DHbK4RWE.css ..................................................... ~ 508.95ms
  2026-05-21 02:51:08 /build/assets/app-CasETRYy.js ........................................................ ~ 0.54ms
  2026-05-21 02:51:08 /images/logo.svg ..................................................................... ~ 3.33ms
  2026-05-21 02:51:08 /favicon.ico ......................................................................... ~ 0.39ms
  2026-05-21 02:51:09 /favicon.ico ......................................................................... ~ 1.74ms
  2026-05-21 02:51:11 /login ................................................................................... ~ 1s
  2026-05-21 02:51:11 /about ................................................................................... ~ 1s
  2026-05-21 02:51:13 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.42ms
  2026-05-21 02:51:13 /build/assets/app-CasETRYy.js ........................................................ ~ 3.05ms
  2026-05-21 02:51:13 /images/logo.svg ..................................................................... ~ 5.02ms
  2026-05-21 02:51:13 /favicon.ico ......................................................................... ~ 0.35ms
  2026-05-21 02:51:14 /favicon.ico ......................................................................... ~ 1.10ms
  2026-05-21 02:51:15 /favicon.ico ......................................................................... ~ 0.67ms
  2026-05-21 02:51:42 /register .......................................................................... ~ 514.98ms
  2026-05-21 02:51:43 /dashboard ......................................................................... ~ 508.57ms
  2026-05-21 02:51:43 /admin/dashboard ................................................................... ~ 515.83ms
  2026-05-21 02:51:44 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.79ms
  2026-05-21 02:51:44 /build/assets/app-CasETRYy.js ........................................................ ~ 3.24ms
  2026-05-21 02:51:44 /images/logo.svg ..................................................................... ~ 5.18ms
  2026-05-21 02:51:44 /favicon.ico ......................................................................... ~ 0.91ms
  2026-05-21 02:52:02 /admin/rooms ....................................................................... ~ 510.59ms
  2026-05-21 02:52:02 /build/assets/app-DHbK4RWE.css ..................................................... ~ 512.67ms
  2026-05-21 02:52:02 /build/assets/app-CasETRYy.js ........................................................ ~ 0.36ms
  2026-05-21 02:52:02 /images/logo.svg ..................................................................... ~ 2.72ms
  2026-05-21 02:52:03 /favicon.ico ......................................................................... ~ 0.32ms
  2026-05-21 02:52:04 /admin/rooms/create ...................................................................... ~ 1s
  2026-05-21 02:52:05 /build/assets/app-DHbK4RWE.css ....................................................... ~ 1.27ms
  2026-05-21 02:52:05 /build/assets/app-CasETRYy.js ........................................................ ~ 4.03ms
  2026-05-21 02:52:05 /images/logo.svg ..................................................................... ~ 5.56ms
  2026-05-21 02:52:05 /favicon.ico ......................................................................... ~ 0.42ms
  2026-05-21 02:52:34 /admin/rooms ....................................................................... ~ 512.32ms
  2026-05-21 02:52:34 /admin/rooms ............................................................................. ~ 1s
  2026-05-21 02:52:35 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.56ms
  2026-05-21 02:52:35 /build/assets/app-CasETRYy.js ........................................................ ~ 2.94ms
  2026-05-21 02:52:35 /images/logo.svg ..................................................................... ~ 5.50ms
  2026-05-21 02:52:35 /favicon.ico ......................................................................... ~ 0.47ms
  2026-05-21 02:52:37 /admin/rooms/create ................................................................ ~ 516.41ms
  2026-05-21 02:52:37 /build/assets/app-DHbK4RWE.css ..................................................... ~ 518.83ms
  2026-05-21 02:52:37 /build/assets/app-CasETRYy.js ........................................................ ~ 0.43ms
  2026-05-21 02:52:37 /images/logo.svg ..................................................................... ~ 2.12ms
  2026-05-21 02:52:37 /favicon.ico ......................................................................... ~ 0.32ms
  2026-05-21 02:53:03 /admin/rooms ....................................................................... ~ 513.88ms
  2026-05-21 02:53:03 /admin/rooms ............................................................................. ~ 1s
  2026-05-21 02:53:04 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.41ms
  2026-05-21 02:53:04 /build/assets/app-CasETRYy.js ........................................................ ~ 0.29ms
  2026-05-21 02:53:04 /images/logo.svg ..................................................................... ~ 0.28ms
  2026-05-21 02:53:04 /favicon.ico ......................................................................... ~ 0.29ms
  2026-05-21 02:53:07 /admin/rooms/create ................................................................ ~ 512.01ms
  2026-05-21 02:53:07 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.40ms
  2026-05-21 02:53:07 /build/assets/app-CasETRYy.js ........................................................ ~ 0.39ms
  2026-05-21 02:53:07 /images/logo.svg ..................................................................... ~ 2.37ms
  2026-05-21 02:53:07 /favicon.ico ......................................................................... ~ 0.44ms
  2026-05-21 02:53:34 /admin/rooms ....................................................................... ~ 515.04ms
  2026-05-21 02:53:34 /admin/rooms ............................................................................. ~ 1s
  2026-05-21 02:53:35 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.35ms
  2026-05-21 02:53:35 /build/assets/app-CasETRYy.js ........................................................ ~ 0.39ms
  2026-05-21 02:53:35 /images/logo.svg ..................................................................... ~ 2.18ms
  2026-05-21 02:53:35 /favicon.ico ......................................................................... ~ 0.26ms
  2026-05-21 02:53:36 /admin/rooms/create ................................................................ ~ 512.91ms
  2026-05-21 02:53:37 /build/assets/app-DHbK4RWE.css ..................................................... ~ 515.86ms
  2026-05-21 02:53:37 /build/assets/app-CasETRYy.js ........................................................ ~ 0.48ms
  2026-05-21 02:53:37 /images/logo.svg ..................................................................... ~ 2.76ms
  2026-05-21 02:53:37 /favicon.ico ......................................................................... ~ 0.40ms
  2026-05-21 02:54:03 /admin/rooms ....................................................................... ~ 514.37ms
  2026-05-21 02:54:03 /admin/rooms ............................................................................. ~ 1s
  2026-05-21 02:54:04 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.37ms
  2026-05-21 02:54:04 /build/assets/app-CasETRYy.js ........................................................ ~ 2.22ms
  2026-05-21 02:54:04 /images/logo.svg ..................................................................... ~ 2.28ms
  2026-05-21 02:54:04 /favicon.ico ......................................................................... ~ 0.40ms
  2026-05-21 02:54:16 /admin/rooms/10/edit ..................................................................... ~ 1s
  2026-05-21 02:54:17 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.37ms
  2026-05-21 02:54:17 /build/assets/app-CasETRYy.js ........................................................ ~ 0.50ms
  2026-05-21 02:54:17 /images/logo.svg ..................................................................... ~ 2.80ms
  2026-05-21 02:54:17 /storage/rooms/Qc6e4m3QfHsPzRajsUUGLt3oePCuOYgabvjmrvHa.jpg .......................... ~ 4.66ms
  2026-05-21 02:54:17 /favicon.ico ......................................................................... ~ 1.58ms
  2026-05-21 02:54:25 /admin/rooms/10 .................................................................... ~ 515.19ms
  2026-05-21 02:54:25 /admin/rooms ....................................................................... ~ 507.58ms
  2026-05-21 02:54:26 /build/assets/app-DHbK4RWE.css ....................................................... ~ 0.39ms
